# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	17159
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=0 d=0.1 t=14294
a li yun 	阿里雲	c=1 d=1 t=3935
ai qing 	愛情	c=1 d=1 t=8763
an 	按	c=3 d=1 t=16978
an jian 	按鍵	c=1 d=1 t=4367
an pai 	安排	c=1 d=1 t=13850
an quan 	安全	c=2 d=1 t=14631
an wei qu fan 	按位取反	c=2 d=1.97045 t=5210
an xia 	按下	c=2 d=1 t=9854
an zhao 	按照	c=9 d=1.00445 t=16004
an zhuan 	暗轉	c=1 d=1 t=13207
an zhuang 	安裝	c=99 d=0.80557 t=17159
an zhuang bao 	安裝包	c=4 d=2.59439 t=3912
an zhuang hao 	安裝好	c=1 d=1 t=15043
an zhuo 	安卓	c=1 d=1 t=14415
and 	and 	c=2 d=1 t=8829
ao yun hui 	奧運會	c=1 d=1 t=16909
ba 	八	c=1 d=0.00810722 t=17159
ba 	吧	c=10 d=1.06115 t=14240
ba 	把	c=10 d=0.0953187 t=17159
ba ba 	爸爸	c=2 d=1.97531 t=9023
ba fa 	拔髮	c=1 d=0.0148464 t=17159
ba ma 	爸媽	c=13 d=6.39585 t=11314
bai fen bi 	百分比	c=1 d=1 t=2551
ban 	版	c=8 d=1.98511 t=16718
ban 	辦	c=1 d=1 t=6311
ban be 	版be 	c=1 d=1 t=16717
ban ben 	版本	c=38 d=0.00486835 t=17159
ban fa 	辦法	c=11 d=1.00493 t=17159
ban jiao 	半角	c=1 d=1 t=17159
ban quan 	版權	c=1 d=1 t=16837
ban tou ming 	半透明	c=1 d=1 t=17154
bang 	幫	c=7 d=2.50478 t=16443
bang ding 	綁定	c=3 d=0.339868 t=17159
bang wo 	幫我	c=29 d=1.89598 t=16263
bang zhu 	幫助	c=4 d=1 t=13780
bao 	包	c=9 d=1.07982 t=14356
bao chi 	保持	c=1 d=0.213312 t=17159
bao cun 	保存	c=6 d=0.0175097 t=17159
bao cuo 	報錯	c=65 d=0.583464 t=17159
bao han 	包含	c=9 d=1.94649 t=16730
bao hu 	保護	c=2 d=1.94176 t=10579
bao kuo 	包括	c=3 d=1.26847 t=7265
bao mu 	保姆	c=1 d=1 t=9175
bao qian 	抱歉	c=1 d=1 t=11629
bao zheng 	保證	c=3 d=1.00003 t=14573
bei 	被	c=18 d=0.641516 t=17159
bei bei 	貝貝	c=1 d=1 t=9267
bei dong 	被動	c=2 d=0.0706512 t=17159
bei fen 	備份	c=1 d=1 t=3846
bei hou 	背後	c=1 d=1 t=7607
bei ji 	北極	c=1 d=1 t=15176
bei jing 	北京	c=2 d=1 t=17130
bei jing 	背景	c=2 d=1.94649 t=17142
bei ta 	貝塔	c=4 d=3.73255 t=15153
bei ta ji jin 	貝塔基金	c=1 d=1 t=9796
bei ta zhi 	貝塔值	c=3 d=2.92639 t=15114
ben 	本	c=2 d=1 t=6991
ben di 	本地	c=3 d=1.00002 t=6608
ben ji 	本機	c=6 d=1.63706 t=6468
ben lai 	本來	c=1 d=1 t=2939
ben shen 	本身	c=1 d=1 t=3165
bi 	比	c=4 d=0.205975 t=17159
bi ji 	筆記	c=27 d=0.791192 t=17159
bi jiao 	比較	c=11 d=1.79254 t=17068
bi jiao chang 	比較長	c=1 d=1 t=16829
bi jiao hao 	比較好	c=1 d=1 t=7126
bi li 	比例	c=2 d=1 t=16094
bi mian 	避免	c=5 d=1.00742 t=15473
bi ru 	比如	c=6 d=1.00289 t=13175
bi tong 	筆筒	c=1 d=1 t=8939
bi xu 	必須	c=12 d=0.711788 t=17159
bian cheng 	編程	c=20 d=0.254123 t=17159
bian cheng zhong 	編程中	c=11 d=0.831942 t=17159
bian da 	變大	c=1 d=1 t=14566
bian de 	變得	c=1 d=1 t=6880
bian hao 	編號	c=3 d=0.19593 t=17159
bian hua 	變化	c=4 d=1.00046 t=12682
bian huan 	變換	c=3 d=1.99581 t=15683
bian ji 	編輯	c=14 d=0.0569107 t=17159
bian ji qi 	編輯器	c=4 d=0.110046 t=17159
bian lan 	邊欄	c=1 d=1 t=7132
bian li 	便利	c=1 d=1 t=11334
bian li 	遍歷	c=5 d=1.00003 t=11333
bian liang 	變量	c=7 d=0.0599047 t=17159
bian ma 	編碼	c=0 d=0.1 t=14331
bian xie 	便攜	c=1 d=1 t=11396
bian xie 	編寫	c=5 d=0.0743716 t=17159
bian yi 	編譯	c=29 d=0.760257 t=17159
bian yi qi 	編譯器	c=5 d=1 t=14478
bian yu 	便於	c=2 d=1 t=14490
biao da 	表達	c=6 d=0.543351 t=17159
biao da shi 	表達式	c=9 d=1.99005 t=15122
biao ge 	表格	c=5 d=2.87458 t=12246
biao ge zhong 	表格中	c=1 d=1 t=10308
